Название,Ссылка,Цена,Тип продукта,Страна,Содержание сахара,Цвет,Регион,"Объем, л",Сорт винограда,Классификация,Крепость,Бренд,Рейтинги,Аромат,Вкус,Способ производства,Гастрономия,Награды,Интересные факты,Философия производства,Год,Подарочная упаковка,Состав,Кислотность,Vivino
"Landhaus Paul Rose Zweigelt, Qualitatswein Burgenland",https://verigo.ru/product/landhaus-paul-rose-zweigelt-qualitatswein-burgenland,2 400 ₽,Вино,Австрия,сухое,Цвет светло-розовый.,Бургенланд,"0,75",Цвайгельт,Qualitatswein Burgenland,12%,Landhaus Paul,,"Фруктовый аромат малины и клубники, нотка травяной пряности.","Вкус свежий и фруктовый, с насыщенной кислотной структурой, легкий  с  хорошей питкостью, с очаровательным послевкусием.","50% прямого отжима + 50% экстракции соком (кровопускание),ферментация с регулируемой температурой. Созревание в  нержавеющей стали.","Идеальное вино для аперитива в теплое время года, прекрасно сочетается слегкими холодными закусками.",Золотая медаль - Berlin Wine Trophy 2023,,,,,,,
"Landhaus Paul Zweigelt Selection, Qualitatswein Burgenland",https://verigo.ru/product/landhaus-paul-tsvaygelt-selekshn,2 490 ₽,Вино,Австрия,сухое,"Вино насыщенного красно-рубинового цвета,",Бургенланд,"0,75",Цвайгельт,Qualitatswein Burgenland,13%,Landhaus Paul,vivino 3.7,"Очень сочное, аромат вишни и красных ягод","Классические черты винограда цвайгельт с выраженным фруктовым вкусом ягод вишни и оттенком специй, мягкие танины, очень сочное и полнотелое.",,"Вино гармонично сочетается с пастой, красным мясом и телятиной.",,,,,,,,
"La Pleiade, Heathcote GI",https://verigo.ru/product/la-pleiade-heathcote-gi,20 500 ₽,Вино,Австралия,сухое,Рубинового пурпурного цвета.,Виктория,"0,75",Шираз,Heathcote GI,"14,5%",Fine Wine,,"Комплексный аромат малины, клубники, вишнёвой  косточки. На фоне красных ягод развиваются  нотки оливок, табака и копченого мяса.","Удивительное сочетание элегантности и силы, а  также минеральности, идеально отражая особенные почвы Хиткоут. Нежное и свежее во  вкусе с нотками сливы и специй и с длительным  финишем.",Винификация в течение 6 недель в открытых  чанах с использованием природных дрожжей.  Выдержка во французских бочках в течение 12 месяцев.,"Подавать к мясным стейкам, колбаскам на гриле, воку с овощами.","Вина M. Chapoutier многократно получали  высшую оценку у известного винного критика  Роберта Паркера: «История покажет, что Мишель Шапутье – революционер».","La Pleiade – это действительно «звёздное» вино, которое представляет собой результат партнёрства между  владельцами австралийского хозяйства Jasper Hill Estate и известным винным домом из долины реки Рона M.  Chapoutier. В 1998 году были высажены первые виноградники австралийских и французских клонов сорта  шираз. Виноград культивируется биодинамическими методами. На этикетке вина изображено звездное  скопление ""Семь сестер"" в созвездии Тельца, которое можно увидеть на виноградниках обоих партнеров (Эрмитаж и Хиткоут). Особенностью региона Хиткоут является красная почва, terra rossa, которая придаёт  этому ширазу особый и незабываемый стиль.",,2018,,,,
"La Reine Pedauque, AOP Cremant de Bourgogne",https://verigo.ru/product/la-reine-pedauque-cremant-de-bourgogne-aoc-cremant-de-bourgogne,3 580 ₽,Игристое вино,Франция,брют,Насыщенного ярко-соломенного цвета со стройным перляжем.,Бургундия,"0,75",Алиготе; Гаме; Пино Нуар; Шардоне,AOP Cremant de Bourgogne,12%,La Reine Pedauque,,"Тонкий и нежный аромат белых цветов и апельсиновой цедры, булочки бриошь со сливочными нотками.","Элегантное вино с прекрасным балансом и освежающей яркой кислотностью. Во вкусе можно ощутить оттенки печеного яблока, лайма и крыжовника. Обладает длительным послевкусием с медовыми нотками.",Традиционный способ производства игристых вин с выдержкой в бутылке на осадке в течение 12 месяцев.,"Идеально в качестве аперитива. Прекрасно сочетается с птицей или морепродуктами в соусе. Отлично дополнит десерты, например, шербеты.",,"Этот винтажный креман представляет собой олицетворение 2021 года. «Шампанское» за пределами Шампани, которое всегда производится по классическому шампанскому методу и представляет собой элиту игристых вин Франции.Как запомнить основные сорта Бургундии? Попробуйте этот сногсшибательный креман, который представляет собой бленд шардоне, пино нуара, гаме и алиготе.",природосообразное виноделие,2021,,,,
"La Reine Pedauque Bourgogne Aligote,  AOP Bourgogne Aligote",https://verigo.ru/product/la-reine-pedauque-bourgogne-aligote-aop-bourgogne-aligote,2 940 ₽,Вино,Франция,сухое,Бледно-соломенного цвета.,Бургундия,"0,75",Алиготе,AOP Bourgogne Aligote,12%,La Reine Pedauque,,"В аромате раскрываются тона сочного зелёного яблока, цитрусов и белых цветов.","Сбалансированный вкус с мягкой и гастрономичной кислотностью. Цитрусы, нотки алычи и белой черешни в сливочном послевкусии.",Сбор винограда происходит исключительно вручную. Ферментация осуществляется при низких температурах. Непродолжительная выдержка в стальных ёмкостях.,Отлично сочетается с белым мясом или морепродуктами.,,"Алиготе, наряду с чёрносмородиновым ликёром, является главным ингредиентом для приготовления знаменитого коктейля «Кир». Счастливчик, в честь которого назван целый аппелласьон, обладает свежим характером с яркой кислотностью и цитрусовыми нотками в аромате.",природосообразное виноделие,2022,,,,
"La Reine Pedauque Bourgogne Hautes Cotes de Beaune, AOP Hautes Cotes de Beaune",https://verigo.ru/product/la-reine-pedauque-bourgogne-hautes-cotes-de-beaune-aop-hautes-cotes-de-beaune,4 670 ₽,Вино,Франция,сухое,Бледно-соломенного цвета.,Бургундия,"0,75",Шардоне,AOP Hautes Cotes de Beaune,"12,5%",La Reine Pedauque,,"В аромате можно почувствовать цитрусовые нотки, мёд, грушу и белые цветы.","Сбалансированный вкус с оттенками жёлтого яблока, лимона и сливочного масла. Приятно обволакивает нёбо и создаёт ощущения баланса и структуры.","Ферментация осуществляется в дубовых бочках. Выдержка на тонком осадке в бочках, 25 % из которых новые, в течение 8-16 месяцев с регулярным баттонажем.","Идеально сочетается с вяленой ветчиной, волокнистым и нежным мясом (кролик и отварная говядина) или мясом и птицей с пряностями (карри), субпродуктами в соусе и дичью. Сыр с мягким вкусом.",,"Виноградники произрастают на холмах к западу от Кот-де-Бона, представляя собой более прохладный терруар. «Хамелеон-шардоне»  сорт, который может производиться в различных стилистиках, в Бургундии почти всегда выдерживается в бочках и имеет длительный потенциал.",природосообразное виноделие,2021,,,,
"La Reine Pedauque Bourgogne Hautes Côtes de Nuits, AOP Hautes Cotes de Nuits",https://verigo.ru/product/la-reine-pedauque-bourgogne-hautes-cotes-de-nuits-aop-hautes-cotes-de-nuits,5 060 ₽,Вино,Франция,сухое,Рубинового цвета средней интенсивности.,Бургундия,"0,75",Пино Нуар,AOP Hautes Cotes de Nuits,14%,La Reine Pedauque,,"В гармоничном аромате переплетаются малиново-ежевичные нотки, лакрица и дажежареный кофе.","Среднетелое и фруктовое во вкусе, с легкими ванильными оттенками в ягодном послевкусии.",Ручной сбор винограда. Традиционная винификация в стальных ёмкостях в течение 3-х недель с предварительной холодной мацерацией. Выдержка в дубовых бочках (30% вина – в новых бочках) в течение 9 месяцев с проведением малолактики.,"Идеально подходит к белому мясу, например, кролику, но также хорошо сочетается с бараниной и уткой, а также мясом на гриле. Удивительно хорошо с кисло-сладкими или слегка острыми блюдами (утка с апельсинами). Сыры средней крепости: Камамбер, Сен-Полен, Морбье, Реблошон.",,"Виноградники произрастают на холмах к западу от Кот-де-Нюи, представляя собой более прохладный терруар, который так любит раносозревающий сорт пино нуар. Этот «аристократ» Бургундии является чуть ли не самым древним европейским сортом. Его гроздь напоминает шишку, от чего он и получил своё название, в переводе с французского «рinot» – это «шишка».",природосообразное виноделие,2021,,,,
"La Reine Pedauque Chambolle-Musigny, AOP Chambolle-Musigny",https://verigo.ru/product/la-reine-pedauque-chambolle-musigny-aop-chambolle-musigny,21 070 ₽,Вино,Франция,сухое,Рубинового цвета с гранатовым блеском.,Бургундия,"0,75",Пино Нуар,AOP Chambolle-Musigny,"13,5%",La Reine Pedauque,,"В многогранном аромате раскрываются нотки красных ягод, вишнёвого джема, шелковицы и лакрицы. Лепестки сухой розы гармонично вплетаются за кулисы основных ароматов.","Сбалансированный и структурированный вкус с оттенками ванили и чёрного перца, а также интенсивные ноты зрелых красных фруктов, малины и дымных пряных оттенков. Мягкие танины постепенно проявляют свою мощь, а ягодно-минеральные нотки долго сохраняются в послевкусии этого изысканного вина.","Ручной сбор винограда. Традиционная винификация в стальных ёмкостях в течение 3-х недель с предварительной холодной мацерацией. Выдержка в дубовых бочках в течение 10 месяцев (30 % кюве – в новых бочках), с проведением малолактики.","Отлично сочетается с мясом с относительно сильным вкусом, например ростбиф, тушеный или в соусе, баранья ножка, дичь и свинина гриль. Хорошо дополняет мягкие французские сыры.",,"Шамболь-Мюзиньи находится в самом сердце Кот-де-Нюи. Почвы содержат много известняка, но меньше глины, чем другие коммуны этого региона, поэтому здешние вина являются примером утончённости и гармоничности. Лучший виноградник коммуны, Мюзиньи (Musigny) назван винными критиками «железной рукой в бархатной перчатке».",природосообразное виноделие,2020,,,,
"La Reine Pedauque Chassagne-Montrachet, AOP Chassagne-Montrachet",https://verigo.ru/product/la-reine-pedauque-chassagne-montrachet-aop-chassagne-montrachet,18 680 ₽,Вино,Франция,сухое,Соломенного цвета с золотистым блеском.,Бургундия,"0,75",Шардоне,AOP Chassagne-Montrachet,"13,5%",La Reine Pedauque,,"В бокале раскрывается оттенками лайма, айвы со сливочными  нотками. Акация, жимолость и фундук переплетаются, создавая сложность структуры. Мускатный орех, карамель и ваниль можно услышать вторыми голосами.",Маслянистое и округлое с ярким сливочным послевкусием и элегантной структурой. Полнотелое и роскошное с  гладкой шелковистой текстурой и оттенками мёда в длительном послевкусии.,Сбор винограда происходит исключительно вручную. Ферментация осуществляется при низких температурах. Выдержка в дубовых бочках в течение 11 месяцев с регулярным баттонажем (30% кюве – в новых бочках).,"Отлично сочетается с мясом и рыбой с благородной и красивой текстурой (телятина или курица в белом соусе, запеченный морской окунь, а также фуа-гра) или морепродуктами на гриле. Сыры с легким вкусом (Бри, голубой сыр, козий сыр, Грюйер).",,"Шассань-Монраше – одна из трёх величайших белых коммун Кот-д’Ора. Из сорта шардоне здесь производят невероятно глубокие, сложные вина, с огромным потенциалом. Длительная выдержка в бочке позволяет приобрести кремовую и насыщенную текстуру. Великий писатель-романист Александр Дюма употреблял вина из этой коммуны «сняв шляпу и встав на колени», намекая на их яркую индивидуальность и изысканность.",природосообразное виноделие,2018,,,,
"La Reine Pedauque Gevrey-Chambertin, AOP Gevrey-Chambertin",https://verigo.ru/product/la-reine-pedauque-gevrey-chambertin-aop-gevrey-chambertin,16 770 ₽,Вино,Франция,сухое,Тёмно-рубинового цвета.,Бургундия,"0,75",Пино Нуар,AOP Gevrey-Chambertin,13%,La Reine Pedauque,,"В букете переплетается множество ароматов, которые постепенно раскрывают ноты малины, опавшей листвы с выразительными пряными нотками.","Целостное и округлое, с длительнымпослевкусием спелых ягод и пряностей.","Ручной сбор винограда. Традиционная винификация в стальных ёмкостях в течение 3-х недель с предварительной холодной мацерацией. Выдержка в дубовых бочках в течение 10 месяцев (20-30 % кюве – в новых бочках), с проведением малолактики.","Идеально подходит к мясным блюдам: жареная баранина, стейк рибай, утиная грудка или дичь. Прекрасно сопровождает сыры с сильным ароматом - Ливаро, Мюнстер, Марой, Лангр, Эми дю Шамбертен.",,"Наполеон, согласно легенде, особенно любил вино Шамбертена которым его когда-то угостил рядовой солдат в очередном военном походе. За его армией всегда следовал обоз этого вина. В России ещё до взятия Москвы такой большой куш отбили донские казаки!Вина из этой коммуны – мощные и богатые, «мужественные» и яркие.",природосообразное виноделие,2020,,,,
"La Reine Pedauque Meursault, AOP Meursault",https://verigo.ru/product/la-reine-pedauque-meursault-aop-meursault,23 460 ₽,Вино,Франция,сухое,Светло-соломенного цвета с зелёными отблесками.,Бургундия,"0,75",Шардоне,AOP Mersault,13%,La Reine Pedauque,,"В аромате раскрываются оттенки жимолости, засахаренного лимона, зелёного яблока и хлебной корочки. Тона полевых трав, мёда, фундука и  белых цветов звучат вторыми голосами.","Роскошное и изысканное вино обладает полным телом, нюансами ананаса, лимона, абрикоса, персика и лесного ореха. Маслянистое во вкусе с гибкой текстурой и освежающей кислотностью. Длительное солоноватое минеральное послевкусие.",Традиционная ферментация в дубовых бочках при температуре 16-200 С. Выдержка в бочках в течение 8-16 месяцев с регулярным батоннажем (30% - новый дуб).,"Прекрасный аккомпанемент к ризотто с трюфелем, грибной пасте, курице на гриле, а также козьему сыру Камамберу.",,Монахи аббатства Сито ещё в 11 веке начали возделывать землю под виноградники в этом исключительном терруаре. Вина из «белой» коммуны Мерсо считаются одними из наиболее насыщенных и полнотелых среди белых вин Бургундии.,природосообразное виноделие,2022,,,,
"La Reine Pedauque Nuits-Saint-Georges, AOP Nuits-Saint-Georges",https://verigo.ru/product/la-reine-pedauque-nuits-saint-georges-aop-nuits-saint-georges,Цена не указана,Вино,Франция,сухое,Вишнёвого цвета с гранатовыми оттенками.,Бургундия,"0,75",Пино Нуар,AOP Nuits-Saint-Georges,"13,5%",La Reine Pedauque,,"В аромате раскрываются тона шелковицы, чёрной смородины, лакрицы и шоколада. Вторыми голосами можно услышать клубничный джем и аромат опавшей осенней листвы.","Изящное, великолепно сбалансированное, с бархатистыми танинами и длительным лакричным послевкусием. Гастрономичная кислотность мягко обволакивает нёбо. Во вкусе переплетаются оттенки вишни, сливы, чёрного перца и лакрицы.","Ручной сбор винограда. Традиционная винификация в стальных ёмкостях в течение 3-х недель с предварительной холодной мацерацией. Выдержка в дубовых бочках в течение 17 месяцев (20% кюве – в новых бочках), с проведением малолактики.","Жареная баранина, стейк рибай, утиная грудка или дичь. Пряные рецепты. Сыры с сильным ароматом - Ливаро, Мюнстер, Марой, Эпуас, Лангр, Эми дю Шамбертен, Сумэнтрейн.",,"Виноград для этого вина собирают с северной части коммуны, а именно, с клима Les Argillats, по соседству с великой Вон-Романе. Вина по стилистике тяготеют к своему именитому соседу и являются в Нюи-Сен-Жорж самыми тонкими и сдержанными.",природосообразное виноделие,2020,,,,
"La Reine Pedauque Petit Chablis, AOP Petit Chablis",https://verigo.ru/product/la-reine-pedauque-petit-chablis-aop-chablis,4 410 ₽,Вино,Франция,сухое,Светло-золотистого блестящего цвета.,Бургундия,"0,75",Шардоне,AOP Petit Chablis,13%,La Reine Pedauque,,"В аромате переплетаются цитрусовые, айва, зелёное яблоко раскрывается нотами цитрусов, айвы со сливочными нотками.",Легкотелое с яркой кислотностью и нотками лайма и айвы в минеральном послевкусии. Изящное и освещающее.,Ферментация осуществляется при низких температурах. Выдержка в стальных ёмкостях на тонком осадке в течение 9 месяцев с регулярным баттонажем.,"Идеально сочетается с блюдами средиземноморской кухни, белым мясом, рыбой и сыром.",,"Вина региона Шабли сохраняют максимум свежести благодаря особым почвам и прохладному климату. Виноградники культивирут на портландском известняке, который придаёт особую минеральность винам. Пти Шабли прекрасно раскрываются в молодом возрасте и обладают бодрящей кислотностью.",природосообразное виноделие,2021,,,,
"La Reine Pedauque Pommard, AOP Pommard",https://verigo.ru/product/la-reine-pedauque-pommard-aop-pommard,14 860 ₽,Вино,Франция,сухое,Малиново-пурпурного цвета.,Бургундия,"0,75",Пино Нуар,AOP Pommard,13%,La Reine Pedauque,,"Изысканный, элегантный аромат, в котором раскрываются тона черных ягод, фиалки, темного шоколада. Великолепно сбалансированное вино, с гибкой структурой, мягкими шелковистыми танинами.","Пышное во вкусе вино, с выразительной танинной структурой и отличной кислотностью.","Ручной сбор винограда. Традиционная винификация в стальных ёмкостях в течение 3-х недель с предварительной холодной мацерацией. Выдержка в дубовых бочках в течение 14 месяцев (40 % кюве – в новых бочках), с проведением малолактики.","Красное мясо на гриле с соусом, стейк из говядины, баранины или птицы.",,"Название коммуны Pommard происходит от фр. «pomme» (яблоко), так как здесь в Средние века росли дивные яблоневые сады. Мощные, полнотелые и насыщенные вина Поммара были одними из лучших в Бургундии уже в XVIII веке.",природосообразное виноделие,2018,,,,
"La Reine Pedauque Pouilly-Fuisse,	AOP Pouilly-Fuisse",https://verigo.ru/product/la-reine-pedauque-pouilly-fuisse-aop-pouilly-fuisse,6 880 ₽,Вино,Франция,сухое,Золотисто-соломенного блестящего цвета.,Бургундия,"0,75",Шардоне,AOP Pouilly-Fuisse,13%,La Reine Pedauque,,"Богатая палитра ароматов раскрывается нотками жёлтого яблока, цитрусовых и лесного ореха.","Маслянистое и минеральное во вкусе, с освежающей кислотностью и плотной текстурой.",Сбор винограда происходит исключительно вручную. Ферментация осуществляется при низких температурах. Выдержка в дубовых бочках в течение 15 месяцев с регулярным баттонажем.,"Отлично подходит к рыбе, морепродуктам, пасте и белому мясу.",,"Виноградники располагаются в самой престижной части Маконне – на юге. Название деревни Фюиссе, давшей имя аппелласьону, происходит от латинского «fuscius», что переводится как «тёмный». Коммуна расположена в низине, и окружающие холмы защищают её от северных ветров.",природосообразное виноделие,2017,,,,
"La Reine Pedauque Rully, AOP Rully",https://verigo.ru/product/la-reine-pedauque-rully-aop-rully,7 220 ₽,Вино,Франция,сухое,Вишнёвого цвета средней интенсивности.,Бургундия,"0,75",Пино Нуар,AOP Rully,14%,La Reine Pedauque,,"В аромате раскрываются нотки вишнёвого варенья, чёрной смородины и лакрицы.","Объёмное и яркое во вкусе, с шелковистыми танинами и длительным ягодным послевкусием. Приятные нотки ванили, корицы,  клубничного джема и специй.",Ручной сбор винограда. Традиционная винификация в стальных ёмкостях с предварительной холодной мацерацией. Выдержка к дубовых бочках в течение 12 месяцев.,"Идеально сочетается с жареной птицей, тушеной или жареной печенью, с ризотто или пастой. Сыр умеренно крепкий: Камамбер, Сен-Полен, Морбье, Реблошон.",,"Кот Шалонез находится на юге Бургундии и представляет собой серьезную альтернативу Кот-д’Ору. Здесь производят вина обоих цветов в лёгком стиле. Пино нуары из коммуны Рюйи отличаются стройностью и скромностью, а с возрастом становятся бархатными и изысканными.",природосообразное виноделие,2018,,,,
"La Reine Pedauque Rully, AOP Rully",https://verigo.ru/product/la-reine-pedauque-rully-aop-rully-2,5 930 ₽,Вино,Франция,сухое,Светло-золотистого цвета с зелёными отблесками.,Бургундия,"0,75",Шардоне,AOP Rully,13%,La Reine Pedauque,,"В аромате раскрываются нотки цветка апельсина, лимона, зелёного яблока, лилий и жасмина, а также слышны оттенки ванили, хлебной корочки и йогурта.","Это изысканное и сложное вино обладает полным телом, свежей минеральностью и яркой кислотностью. В сбалансированном вкусе можно почувствовать нотки айвы, жёлтого яблока и сливок. Длительное завораживающее послевкусие.",Винификация проходит в дубовых бочках с последующей выдержкой в течение 8-10 месяцев с регулярным батоннажем.,"Идеально сочетается с запечённой рыбой со сливочным соусом, рагу из овощей и курицы, ризотто.",,"Кот Шалонез находится на юге Бургундии и представляет собой серьезную альтернативу Кот-д’Ору. Здесь производят вина обоих цветов в лёгком стиле. Шардоне из коммуны Рюйи отличаются превосходными ароматами цветов, а также фиалки, лимона, белого персика или кремня.",природосообразное виноделие,2022,,,,
"La Reine Pedauque Saint-Veran, AOP Saint-Veran",https://verigo.ru/product/la-reine-pedauque-saint-veran-aop-saint-veran,4 760 ₽,Вино,Франция,сухое,Светло-соломенного цвета с золотистыми отблесками.,Бургундия,"0,75",Шардоне,AOP Saint-Veran,13%,La Reine Pedauque,,"В аромате раскрываются цитрусовые тона, белый персик, жасмин и айва.","Элегантное, выразительное с оттенками лайма, жёлтого яблока и лесных орехов. Минеральное и длительное послевкусие.",Традиционная винификация в стальных ёмкостях при температуре 16  ̊С. Выдержка на тонком осадке в течение 10 месяцев.,"Идеально сочетается с благородными морепродуктами (гамбас, омары, раки),  с фуа-гра и белым мясом со сливочной ноткой.Отлично подходит под суши. Хорошо дополняет козий сыр.",,"Шардоне является самым популярным в мире сортом. Любимое вино главной героини фильма «Дневник Бриджит Джонс», а также тех, кто предпочитает тельные маслянистые вина в бургундской стилистике.Его также называют «сортом винодела», ведь шардоне способен проявлять себя в различных стилистиках от нейтрального и сдержанного к яркому и насыщенному в зависимости от манипуляций энолога.",природосообразное виноделие,2021,,,,
"La Reine Pedauque Savigny-les-Beaune, AOP Savigny-les-Beaune",https://verigo.ru/product/la-reine-pedauque-savigny-les-beaune-aop-savigny-les-beaune,7 460 ₽,Вино,Франция,сухое,Вишнёвого цвета с фиолетовыми отблесками.,Бургундия,"0,75",Пино Нуар,AOP Savigny-les-Beaune,14%,La Reine Pedauque,,"В аромате раскрываются тона сливы, черных ягод, черносмородинового ликера и лакрицы.","Деликатное во вкусе, с бархатистыми танинами и пряными оттенками в послевкусии.","Ручной сбор винограда. Традиционная винификация в стальных ёмкостях в течение 3-х недель с предварительной холодной мацерацией. Выдержка в дубовых бочках в течение 11 месяцев (25 % кюве – в новых бочках), с проведением малолактики.","Идеально сочетается с вяленой ветчиной, волокнистым и нежным мясом (кролик и отварная говядина) или мясом и птицей с пряностями (карри), субпродуктами в соусе и дичью.  Сыр с мягкими вкусами: Брийя-Саварен, Вашерен, Бри де Мо.",,"Савиньи-ле-Бон – одна из самых крупных коммун Кот-де-Бона, в которой находятся 22 классифицированных виноградника уровня Премье-крю. Именно здесь в середине XIX века был изобретён первый трактор для сбора винограда.",природосообразное виноделие,2020,,,,
"L’Ariosa Albalena Vermentino, DOC Vermentino di Sardegna",https://verigo.ru/product/lariosa-albalena-vermentino-doc-vermentino-di-sardegna,2 490 ₽,Вино,Италия,сухое,Светло-соломенного цвета.,Сардиния,"0,75",Верментино,DOC Vermentino di Sardegna,"13,5%",L’Ariosa,,"Интенсивный приятный аромат персика, белых цветов, лайма, манго и мёда.","Фруктовый минеральный вкус с нотками ананаса, манго и миндаля. Длительное лимонное послевкусие.",Традиционная ферментация в стали 10-15 дней. Непродолжительная выдержка в стальных ёмкостях с батоннажем.,"Подойдёт к салату с морепродуктами, дораде с долькой лимона и устрицам.",,"Название вина Albalena состоит из двух слов – «alba» (рассвет) и «balena» (кит). Этикетка вина посвящена знаменитому пляжу с национальным парком La Pelosa на Сардинии, откуда можно наблюдать миграции китов и наслаждаться красивыми видами.",,2023,,,,
"L’Ariosa Cavalleggero Cannonau, DOC Cannonau di Sardegna",https://verigo.ru/product/lariosa-cavalleggero-cannonau-doc-cannonau-di-sardegna,2 590 ₽,Вино,Италия,сухое,Красивого вишнёвого цвета.,Сардиния,"0,75",Каннонау,DOC Cannonau di Sardegna,14%,L’Ariosa,,"В бокале раскрывается ароматами малины, клубники, специй и средиземноморских трав.","Свежий фруктовый вкус с оттенками ежевики, малины и розмарина. Бархатистые танины и яркая кислотность. Длительное вишнёвое послевкусие.","Традиционная ферментация в стали, частично с целыми гроздями. Непродолжительная выдержка в стальных ёмкостях.","Дополнит мясные закуски, оливки, тунца и куриный паштет.",,"Название вина Cavalleggero состоит из двух слов «cavallo» (лошадь) и «leggero» (свет). Кавалледжеро Каннонау посвящается многовековой традиции – сардинскому карнавалу, отражая силу и гордость народа Сардинии, а также мощь каннонау.",,2022,,,,
"L’Ariosa Ninnaluna Cannonau, DOC Cannonau di Sardegna",https://verigo.ru/product/lariosa-ninnaluna-cannonau-doc-cannonau-di-sardegna,2 650 ₽,Вино,Италия,сухое,Светло-розового нежного цвета.,Сардиния,"0,75",Каннонау,DOC Cannonau di Sardegna,"12,5%",L’Ariosa,,"В бокале раскрывается сладковатыми ароматами розы, вишни и малины.","Освежающее вино с нотами лимона, клубники, сахарной пудры и вишни. Прекрасный баланс, яркая кислотность и длительное клубничное послевкусие.",Традиционная ферментация в стали и мацерация на кожице. Непродолжительная выдержка в стальных ёмкостях.,"Дополнит лосось на гриле, лимонный пирог и пасту с мидиями.",,"По легенде морские божества сирены поют красивую песню, которая приманивает мореплавателей и затопляет корабли. Эта песня могла бы совпадать с ежегодной миграцией буревестника на Сардинское побережье, которое является уникальным событием дикой природы.",,2024,,,,
"La Vierge Original Sin, WO Walker Bay",https://verigo.ru/product/la-vierzh-oridzhinal-sin,1 740 ₽,Вино,ЮАР,сухое,Светло-золотистого цвета,Вестерн Кейп,"0,75",Семильон; Совиньон Блан,WO Walker Bay,14%,La Vierge,vivino 3.9,Аромат тропических фруктов с минеральными оттенками.,"В сочетании с небольшим количеством винограда Семильон достигается вкус тропической дыни, груши, с оттенками лемонграссе и яркой минеральностью.",Совиньон ферментируют в емкостях из нержавеющей стали. Семильон ферментируют в небольших бочках из французского дуба и оставляют на грубом осадке,"Вино чудесно подчеркнет вкус блюд вегетарианской кухни, моллюсков и козьего сыра.",,,,,,,,
"La Vierge Satyricon, WO Hemel-en-Aarde Ridge",https://verigo.ru/product/la-vierzh-satirikon,2 490 ₽,Вино,ЮАР,сухое,Насыщенного красного цвета,Вестерн Кейп,"0,75",Санджовезе,WO Hemel-en-Aarde Ridge,14%,La Vierge,vivino 3.7,Яркий насыщенный фруктовый аромат с нотами вишни и специй,"Вкус гладкий, с оттенками цветочных нот и почти пыльным послевкусием. Умеренная танинность и яркая кислотность.",Выдержка и созревание в барриках из французского дуба (10% новых бочек) на 15 месяцев,"Вино идеально сочетается с классическими итальянскими блюдами, такими как запеченные баклажаны, паста на основе помидоров и вяленого мяса.",,,,,,,,
"Laya, DO Almansa",https://verigo.ru/product/laya-dop-almansa,2 300 ₽,Вино,Испания,сухое,Глубокого насыщенного рубинового цвета.,Кастилия-Ла-Манча,"0,75",Гарнача Тинторера; Монастрель,DO Almansa,"14,5%",Gil Family Estates,vivino 3.7,"Аромат  черной смородины, ежевики, вишни с нюансами лакрицы, специй и ванили.","Идеально сочетается с рисом, пастой, овощами, грибами, тушеным мясом в соусе, мясом на гриле, сырами.",Традиционная винификация. Выдержка в бочках из французского дуба в течение 4 месяцев.,"Идеально сочетается с рисом, пастой, овощами, грибами, тушеным мясом в соусе, мясом на гриле, сырами.",,"Гарнача тинторера – один из немногих сортов, имеющий не только красную кожицу, но и сок красного цвета. В ассамбляжах используется для придания вину полноты цвета.",,,,,,
"Le Comte de Malartic, AOP Pessac-Leognan",https://verigo.ru/product/le-comte-de-malartic-aop-pessac-leognan-2,7 610 ₽,Вино,Франция,сухое,Вишнёвого цвета с пурпурным оттенком.,Бордо,"0,75",Каберне Совиньон; Мерло; Пти Вердо,AOP Pessac-Leognan,"13,5%",Le Comte de Malartic,AG 89-91; JS 93-94; RP 88-90,"Интенсивный ягодный аромат раскрывается нотками сливы, вишни, ежевики, с оттенками специй и кофе.","Во вкусе присутствуют оттенки сливы, лакрицы, вишни. Преобладание в бленде сорта мерло придаёт ему превосходные фруктовые оттенки на небе и бархатистые танины, послевкусие устойчивое, фруктово-ягодное.",Традиционная ферментация с выдержкой в стальных и дубовых ёмкостях в течение трёх недель. Выдержка в дубовых ёмкостях в течение 16 месяцев (25% - новый дуб).,"Вино рекомендуется подавать к блюдам из красного мяса, телятине, пасте и сырам.",Wine Advocate – 88-90/100James Suckling – 93-94/100Vinous – 89-91/100Decanter – 93/100Falstaff – 91/100,"Château Malartic-Lagravière – одно из немногих хозяйств области Грав, у которого и красное, и белое первое вино входит в классификацию вин Крю Классе Грава 1953 года.Le Сomte de Malartic – это больше, чем второе вино хозяйства, оно раскрывает свою индивидуальность как и вина уровня Grand Cru Classé.",природосообразное виноделие,2019,,,,
